
================================================================================
TCN TRAINING DATA REAL 100% - 2026-05-05 14:40:37
Total sample: 6 | Epoch: 100 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/100 | Loss: 3.136267 | MSE(Forecast): 0.8968894 | Acc(Class):  66.67% | LR: 1.00e-03
Epoch    2/100 | Loss: 1.109778 | MSE(Forecast): 0.7080476 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    3/100 | Loss: 0.627677 | MSE(Forecast): 0.5512784 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    4/100 | Loss: 0.491797 | MSE(Forecast): 0.4719746 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    5/100 | Loss: 0.429407 | MSE(Forecast): 0.4264282 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/100 | Loss: 0.372954 | MSE(Forecast): 0.3680431 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/100 | Loss: 0.342695 | MSE(Forecast): 0.3421825 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/100 | Loss: 0.306393 | MSE(Forecast): 0.3055292 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    9/100 | Loss: 0.274117 | MSE(Forecast): 0.2740486 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   10/100 | Loss: 0.248584 | MSE(Forecast): 0.2485182 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   11/100 | Loss: 0.227030 | MSE(Forecast): 0.2268042 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/100 | Loss: 0.181536 | MSE(Forecast): 0.1814581 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/100 | Loss: 0.160518 | MSE(Forecast): 0.1605096 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/100 | Loss: 0.141213 | MSE(Forecast): 0.1411935 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/100 | Loss: 0.143046 | MSE(Forecast): 0.1430360 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   16/100 | Loss: 0.126708 | MSE(Forecast): 0.1267056 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   17/100 | Loss: 0.115510 | MSE(Forecast): 0.1155046 | Acc(Class): 100.00% | LR: 1.00e-03
