
============================================================
STAGE 2 MLP CLASSIFIER | 2026-05-13 13:49:31
Sampel: 9 hari | Epoch: 250 | Batch: 4
Distribusi: Sehat=8 Pre-Anomali=0 Near-Fail=1
============================================================
Epoch    1/250 | CE: 0.838166 | Acc:  75.00% | LR: 1.00e-03
Epoch    2/250 | CE: 0.848032 | Acc:  75.00% | LR: 1.00e-03
Epoch    3/250 | CE: 0.527834 | Acc: 100.00% | LR: 1.00e-03
Epoch    4/250 | CE: 0.851546 | Acc:  87.50% | LR: 1.00e-03
Epoch    5/250 | CE: 0.295779 | Acc: 100.00% | LR: 1.00e-03
Epoch    6/250 | CE: 0.768116 | Acc:  87.50% | LR: 1.00e-03
Epoch    7/250 | CE: 1.103140 | Acc:  87.50% | LR: 1.00e-03
Epoch    8/250 | CE: 1.056180 | Acc:  87.50% | LR: 1.00e-03
Epoch    9/250 | CE: 0.994425 | Acc:  87.50% | LR: 1.00e-03
Epoch   10/250 | CE: 1.093571 | Acc:  87.50% | LR: 1.00e-03
Epoch   11/250 | CE: 0.852434 | Acc:  87.50% | LR: 1.00e-03
Epoch   12/250 | CE: 1.046801 | Acc:  87.50% | LR: 1.00e-03
Epoch   13/250 | CE: 0.983715 | Acc:  87.50% | LR: 1.00e-03
Epoch   14/250 | CE: 0.739248 | Acc:  87.50% | LR: 1.00e-03
Epoch   15/250 | CE: 1.339031 | Acc:  87.50% | LR: 1.00e-03
Epoch   16/250 | CE: 1.116903 | Acc:  87.50% | LR: 1.00e-03
Epoch   17/250 | CE: 0.916979 | Acc:  87.50% | LR: 1.00e-03
Epoch   18/250 | CE: 1.077626 | Acc:  87.50% | LR: 1.00e-03
Epoch   19/250 | CE: 1.089031 | Acc:  87.50% | LR: 1.00e-03
Epoch   20/250 | CE: 0.951253 | Acc:  87.50% | LR: 1.00e-03
Epoch   21/250 | CE: 0.087462 | Acc: 100.00% | LR: 1.00e-03
Epoch   22/250 | CE: 0.635367 | Acc:  87.50% | LR: 1.00e-03
Epoch   23/250 | CE: 0.737648 | Acc:  87.50% | LR: 1.00e-03
Epoch   24/250 | CE: 0.826300 | Acc:  87.50% | LR: 1.00e-03
Epoch   25/250 | CE: 0.648247 | Acc:  87.50% | LR: 1.00e-03
Epoch   26/250 | CE: 0.067275 | Acc: 100.00% | LR: 1.00e-03
Epoch   27/250 | CE: 0.314980 | Acc:  87.50% | LR: 1.00e-03
Epoch   28/250 | CE: 0.832817 | Acc:  87.50% | LR: 1.00e-03
Epoch   29/250 | CE: 0.395400 | Acc:  87.50% | LR: 1.00e-03
Epoch   30/250 | CE: 0.664278 | Acc:  87.50% | LR: 1.00e-03
Epoch   31/250 | CE: 0.407428 | Acc:  87.50% | LR: 1.00e-03
Epoch   32/250 | CE: 0.336960 | Acc:  87.50% | LR: 1.00e-03
Epoch   33/250 | CE: 0.228163 | Acc: 100.00% | LR: 1.00e-03
Epoch   34/250 | CE: 0.159580 | Acc: 100.00% | LR: 1.00e-03
Epoch   35/250 | CE: 0.158878 | Acc: 100.00% | LR: 1.00e-03
Epoch   36/250 | CE: 0.177342 | Acc: 100.00% | LR: 1.00e-03
Epoch   37/250 | CE: 0.068952 | Acc: 100.00% | LR: 1.00e-03
Epoch   38/250 | CE: 0.205297 | Acc: 100.00% | LR: 1.00e-03
Epoch   39/250 | CE: 0.068733 | Acc: 100.00% | LR: 1.00e-03
Epoch   40/250 | CE: 0.044501 | Acc: 100.00% | LR: 1.00e-03
Epoch   41/250 | CE: 0.043168 | Acc: 100.00% | LR: 1.00e-03
Epoch   42/250 | CE: 0.087497 | Acc: 100.00% | LR: 1.00e-03
Epoch   43/250 | CE: 0.020979 | Acc: 100.00% | LR: 1.00e-03
Epoch   44/250 | CE: 0.044559 | Acc: 100.00% | LR: 1.00e-03
Epoch   45/250 | CE: 0.165454 | Acc: 100.00% | LR: 1.00e-03
Epoch   46/250 | CE: 0.049551 | Acc: 100.00% | LR: 1.00e-03
Epoch   47/250 | CE: 0.026631 | Acc: 100.00% | LR: 1.00e-03
Epoch   48/250 | CE: 0.012356 | Acc: 100.00% | LR: 1.00e-03
Epoch   49/250 | CE: 0.028149 | Acc: 100.00% | LR: 1.00e-03
Epoch   50/250 | CE: 0.013278 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_50.pth
Epoch   51/250 | CE: 0.031897 | Acc: 100.00% | LR: 1.00e-03
Epoch   52/250 | CE: 0.020970 | Acc: 100.00% | LR: 1.00e-03
Epoch   53/250 | CE: 0.008477 | Acc: 100.00% | LR: 1.00e-03
Epoch   54/250 | CE: 0.034202 | Acc: 100.00% | LR: 1.00e-03
Epoch   55/250 | CE: 0.015766 | Acc: 100.00% | LR: 1.00e-03
Epoch   56/250 | CE: 0.033455 | Acc: 100.00% | LR: 1.00e-03
Epoch   57/250 | CE: 0.007513 | Acc: 100.00% | LR: 1.00e-03
Epoch   58/250 | CE: 0.014060 | Acc: 100.00% | LR: 1.00e-03
Epoch   59/250 | CE: 0.016596 | Acc: 100.00% | LR: 1.00e-03
Epoch   60/250 | CE: 0.031877 | Acc: 100.00% | LR: 1.00e-03
Epoch   61/250 | CE: 0.007533 | Acc: 100.00% | LR: 1.00e-03
Epoch   62/250 | CE: 0.021853 | Acc: 100.00% | LR: 1.00e-03
Epoch   63/250 | CE: 0.075807 | Acc: 100.00% | LR: 1.00e-03
Epoch   64/250 | CE: 0.021970 | Acc: 100.00% | LR: 1.00e-03
Epoch   65/250 | CE: 0.011881 | Acc: 100.00% | LR: 1.00e-03
Epoch   66/250 | CE: 0.006511 | Acc: 100.00% | LR: 1.00e-03
Epoch   67/250 | CE: 0.010913 | Acc: 100.00% | LR: 1.00e-03
Epoch   68/250 | CE: 0.021873 | Acc: 100.00% | LR: 1.00e-03
Epoch   69/250 | CE: 0.044596 | Acc: 100.00% | LR: 1.00e-03
Epoch   70/250 | CE: 0.020310 | Acc: 100.00% | LR: 1.00e-03
Epoch   71/250 | CE: 0.013494 | Acc: 100.00% | LR: 1.00e-03
Epoch   72/250 | CE: 0.014474 | Acc: 100.00% | LR: 1.00e-03
Epoch   73/250 | CE: 0.015500 | Acc: 100.00% | LR: 1.00e-03
Epoch   74/250 | CE: 0.012638 | Acc: 100.00% | LR: 1.00e-03
Epoch   75/250 | CE: 0.008375 | Acc: 100.00% | LR: 1.00e-03
Epoch   76/250 | CE: 0.007613 | Acc: 100.00% | LR: 1.00e-03
Epoch   77/250 | CE: 0.016209 | Acc: 100.00% | LR: 1.00e-03
Epoch   78/250 | CE: 0.007339 | Acc: 100.00% | LR: 1.00e-03
Epoch   79/250 | CE: 0.031718 | Acc: 100.00% | LR: 1.00e-03
Epoch   80/250 | CE: 0.009991 | Acc: 100.00% | LR: 1.00e-03
Epoch   81/250 | CE: 0.008463 | Acc: 100.00% | LR: 1.00e-03
Epoch   82/250 | CE: 0.005224 | Acc: 100.00% | LR: 1.00e-03
Epoch   83/250 | CE: 0.005480 | Acc: 100.00% | LR: 1.00e-03
Epoch   84/250 | CE: 0.006399 | Acc: 100.00% | LR: 1.00e-03
Epoch   85/250 | CE: 0.008426 | Acc: 100.00% | LR: 1.00e-03
Epoch   86/250 | CE: 0.006417 | Acc: 100.00% | LR: 1.00e-03
Epoch   87/250 | CE: 0.005017 | Acc: 100.00% | LR: 1.00e-03
Epoch   88/250 | CE: 0.010033 | Acc: 100.00% | LR: 1.00e-03
Epoch   89/250 | CE: 0.010697 | Acc: 100.00% | LR: 1.00e-03
Epoch   90/250 | CE: 0.009573 | Acc: 100.00% | LR: 1.00e-03
Epoch   91/250 | CE: 0.005921 | Acc: 100.00% | LR: 1.00e-03
Epoch   92/250 | CE: 0.010519 | Acc: 100.00% | LR: 1.00e-03
Epoch   93/250 | CE: 0.035629 | Acc: 100.00% | LR: 1.00e-03
Epoch   94/250 | CE: 0.006942 | Acc: 100.00% | LR: 1.00e-03
Epoch   95/250 | CE: 0.003322 | Acc: 100.00% | LR: 1.00e-03
Epoch   96/250 | CE: 0.002813 | Acc: 100.00% | LR: 1.00e-03
Epoch   97/250 | CE: 0.008495 | Acc: 100.00% | LR: 1.00e-03
Epoch   98/250 | CE: 0.005410 | Acc: 100.00% | LR: 1.00e-03
Epoch   99/250 | CE: 0.010891 | Acc: 100.00% | LR: 1.00e-03
Epoch  100/250 | CE: 0.004873 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_100.pth
Epoch  101/250 | CE: 0.005210 | Acc: 100.00% | LR: 1.00e-03
Epoch  102/250 | CE: 0.004801 | Acc: 100.00% | LR: 1.00e-03
Epoch  103/250 | CE: 0.010278 | Acc: 100.00% | LR: 1.00e-03
Epoch  104/250 | CE: 0.002069 | Acc: 100.00% | LR: 1.00e-03
Epoch  105/250 | CE: 0.003857 | Acc: 100.00% | LR: 1.00e-03
Epoch  106/250 | CE: 0.002438 | Acc: 100.00% | LR: 1.00e-03
Epoch  107/250 | CE: 0.005046 | Acc: 100.00% | LR: 1.00e-03
Epoch  108/250 | CE: 0.011860 | Acc: 100.00% | LR: 1.00e-03
Epoch  109/250 | CE: 0.003648 | Acc: 100.00% | LR: 1.00e-03
Epoch  110/250 | CE: 0.002734 | Acc: 100.00% | LR: 1.00e-03
Epoch  111/250 | CE: 0.002716 | Acc: 100.00% | LR: 1.00e-03
Epoch  112/250 | CE: 0.008326 | Acc: 100.00% | LR: 1.00e-03
Epoch  113/250 | CE: 0.002494 | Acc: 100.00% | LR: 1.00e-03
Epoch  114/250 | CE: 0.004483 | Acc: 100.00% | LR: 1.00e-03
