
============================================================
STAGE 1 TCN FORECASTER | 2026-05-13 18:07:29
Window: 6 | Epoch: 250 | Batch: 4
============================================================
Epoch    1/250 | MSE: 0.8742939 | LR: 1.00e-03
Epoch    2/250 | MSE: 0.5613903 | LR: 1.00e-03
Epoch    3/250 | MSE: 0.4435178 | LR: 1.00e-03
Epoch    4/250 | MSE: 0.3976039 | LR: 1.00e-03
Epoch    5/250 | MSE: 0.4092603 | LR: 1.00e-03
Epoch    6/250 | MSE: 0.3841714 | LR: 1.00e-03
Epoch    7/250 | MSE: 0.3899048 | LR: 1.00e-03
Epoch    8/250 | MSE: 0.3863273 | LR: 1.00e-03
Epoch    9/250 | MSE: 0.3699959 | LR: 1.00e-03
Epoch   10/250 | MSE: 0.3361080 | LR: 1.00e-03
Epoch   11/250 | MSE: 0.3086267 | LR: 1.00e-03
Epoch   12/250 | MSE: 0.2829359 | LR: 1.00e-03
Epoch   13/250 | MSE: 0.2521851 | LR: 1.00e-03
Epoch   14/250 | MSE: 0.2086085 | LR: 1.00e-03
Epoch   15/250 | MSE: 0.2068085 | LR: 1.00e-03
Epoch   16/250 | MSE: 0.1827674 | LR: 1.00e-03
Epoch   17/250 | MSE: 0.1765889 | LR: 1.00e-03
Epoch   18/250 | MSE: 0.1432327 | LR: 1.00e-03
Epoch   19/250 | MSE: 0.1341298 | LR: 1.00e-03
Epoch   20/250 | MSE: 0.1220809 | LR: 1.00e-03
Epoch   21/250 | MSE: 0.1098837 | LR: 1.00e-03
Epoch   22/250 | MSE: 0.0959209 | LR: 1.00e-03
Epoch   23/250 | MSE: 0.0935243 | LR: 1.00e-03
Epoch   24/250 | MSE: 0.0856656 | LR: 1.00e-03
Epoch   25/250 | MSE: 0.0884756 | LR: 1.00e-03
Epoch   26/250 | MSE: 0.0716334 | LR: 1.00e-03
Epoch   27/250 | MSE: 0.0916556 | LR: 1.00e-03
Epoch   28/250 | MSE: 0.0656472 | LR: 1.00e-03
Epoch   29/250 | MSE: 0.0707742 | LR: 1.00e-03
Epoch   30/250 | MSE: 0.0723419 | LR: 1.00e-03
Epoch   31/250 | MSE: 0.0584431 | LR: 1.00e-03
Epoch   32/250 | MSE: 0.0610824 | LR: 1.00e-03
Epoch   33/250 | MSE: 0.0699664 | LR: 1.00e-03
Epoch   34/250 | MSE: 0.0614891 | LR: 1.00e-03
Epoch   35/250 | MSE: 0.0604329 | LR: 1.00e-03
Epoch   36/250 | MSE: 0.0706532 | LR: 1.00e-03
Epoch   37/250 | MSE: 0.0628307 | LR: 1.00e-03
Epoch   38/250 | MSE: 0.0481811 | LR: 1.00e-03
Epoch   39/250 | MSE: 0.0494405 | LR: 1.00e-03
Epoch   40/250 | MSE: 0.0665376 | LR: 1.00e-03
Epoch   41/250 | MSE: 0.0601814 | LR: 1.00e-03
Epoch   42/250 | MSE: 0.0725217 | LR: 1.00e-03
Epoch   43/250 | MSE: 0.0653989 | LR: 1.00e-03
Epoch   44/250 | MSE: 0.0601846 | LR: 1.00e-03
Epoch   45/250 | MSE: 0.0516052 | LR: 1.00e-03
Epoch   46/250 | MSE: 0.0580872 | LR: 1.00e-03
Epoch   47/250 | MSE: 0.0715123 | LR: 1.00e-03
Epoch   48/250 | MSE: 0.0579558 | LR: 1.00e-03
Epoch   49/250 | MSE: 0.0557246 | LR: 1.00e-03
Epoch   50/250 | MSE: 0.0626278 | LR: 1.00e-03
   → Checkpoint: checkpoints_stage1\checkpoint_epoch_50.pth
Epoch   51/250 | MSE: 0.0505181 | LR: 1.00e-03
Epoch   52/250 | MSE: 0.0473302 | LR: 1.00e-03
Epoch   53/250 | MSE: 0.0624653 | LR: 1.00e-03
Epoch   54/250 | MSE: 0.0520106 | LR: 1.00e-03
Epoch   55/250 | MSE: 0.0454607 | LR: 1.00e-03
Epoch   56/250 | MSE: 0.0447105 | LR: 1.00e-03
Epoch   57/250 | MSE: 0.0507342 | LR: 1.00e-03
