
============================================================
STAGE 2 MLP CLASSIFIER | 2026-05-11 17:22:20
Sampel: 9 hari | Epoch: 100 | Batch: 4
Distribusi: Sehat=8 Pre-Anomali=0 Near-Fail=1
============================================================
Epoch    2/100 | CE: 0.899444 | Acc:  62.50% | LR: 1.00e-03
Epoch    3/100 | CE: 0.777816 | Acc:  75.00% | LR: 1.00e-03
Epoch    4/100 | CE: 0.525874 | Acc:  87.50% | LR: 1.00e-03
Epoch    5/100 | CE: 0.663760 | Acc:  75.00% | LR: 1.00e-03
Epoch    6/100 | CE: 0.261998 | Acc: 100.00% | LR: 1.00e-03
Epoch    7/100 | CE: 0.706227 | Acc:  87.50% | LR: 1.00e-03
Epoch    8/100 | CE: 0.924077 | Acc:  87.50% | LR: 1.00e-03
Epoch    9/100 | CE: 1.093368 | Acc:  87.50% | LR: 1.00e-03
Epoch   10/100 | CE: 0.151283 | Acc: 100.00% | LR: 1.00e-03
Epoch   11/100 | CE: 1.007599 | Acc:  87.50% | LR: 1.00e-03
Epoch   12/100 | CE: 0.624522 | Acc:  87.50% | LR: 1.00e-03
Epoch   13/100 | CE: 1.273192 | Acc:  87.50% | LR: 1.00e-03
Epoch   14/100 | CE: 1.370780 | Acc:  87.50% | LR: 1.00e-03
Epoch   15/100 | CE: 1.067177 | Acc:  87.50% | LR: 1.00e-03
Epoch   16/100 | CE: 1.389377 | Acc:  87.50% | LR: 1.00e-03
Epoch   17/100 | CE: 1.283712 | Acc:  87.50% | LR: 1.00e-03
Epoch   18/100 | CE: 1.312946 | Acc:  87.50% | LR: 1.00e-03
Epoch   19/100 | CE: 0.826144 | Acc:  87.50% | LR: 1.00e-03
Epoch   20/100 | CE: 0.067815 | Acc: 100.00% | LR: 1.00e-03
Epoch   21/100 | CE: 0.892482 | Acc:  87.50% | LR: 1.00e-03
Epoch   22/100 | CE: 0.856669 | Acc:  87.50% | LR: 1.00e-03
Epoch   23/100 | CE: 0.853868 | Acc:  87.50% | LR: 1.00e-03
Epoch   24/100 | CE: 0.491088 | Acc:  87.50% | LR: 1.00e-03
Epoch   25/100 | CE: 0.935306 | Acc:  87.50% | LR: 1.00e-03
Epoch   26/100 | CE: 1.122920 | Acc:  87.50% | LR: 1.00e-03
Epoch   27/100 | CE: 0.537335 | Acc:  87.50% | LR: 1.00e-03
Epoch   28/100 | CE: 0.848645 | Acc:  87.50% | LR: 1.00e-03
Epoch   29/100 | CE: 0.282617 | Acc: 100.00% | LR: 1.00e-03
Epoch   30/100 | CE: 0.291964 | Acc: 100.00% | LR: 1.00e-03
Epoch   31/100 | CE: 0.594015 | Acc:  87.50% | LR: 1.00e-03
Epoch   32/100 | CE: 0.524577 | Acc:  87.50% | LR: 1.00e-03
Epoch   33/100 | CE: 0.038923 | Acc: 100.00% | LR: 1.00e-03
Epoch   34/100 | CE: 0.294091 | Acc:  87.50% | LR: 1.00e-03
Epoch   35/100 | CE: 0.234777 | Acc: 100.00% | LR: 1.00e-03
Epoch   36/100 | CE: 0.025267 | Acc: 100.00% | LR: 1.00e-03
Epoch   37/100 | CE: 0.095381 | Acc: 100.00% | LR: 1.00e-03
Epoch   38/100 | CE: 0.334473 | Acc:  87.50% | LR: 1.00e-03
Epoch   39/100 | CE: 0.080573 | Acc: 100.00% | LR: 1.00e-03
Epoch   40/100 | CE: 0.042133 | Acc: 100.00% | LR: 1.00e-03
Epoch   41/100 | CE: 0.087875 | Acc: 100.00% | LR: 1.00e-03
Epoch   42/100 | CE: 0.105923 | Acc: 100.00% | LR: 1.00e-03
Epoch   43/100 | CE: 0.080731 | Acc: 100.00% | LR: 1.00e-03
Epoch   44/100 | CE: 0.030153 | Acc: 100.00% | LR: 1.00e-03
Epoch   45/100 | CE: 0.013871 | Acc: 100.00% | LR: 1.00e-03
Epoch   46/100 | CE: 0.020226 | Acc: 100.00% | LR: 1.00e-03
Epoch   47/100 | CE: 0.024798 | Acc: 100.00% | LR: 1.00e-03
Epoch   48/100 | CE: 0.026604 | Acc: 100.00% | LR: 1.00e-03
Epoch   49/100 | CE: 0.006055 | Acc: 100.00% | LR: 1.00e-03
Epoch   50/100 | CE: 0.020149 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_50.pth
Epoch   51/100 | CE: 0.022448 | Acc: 100.00% | LR: 1.00e-03
Epoch   52/100 | CE: 0.006570 | Acc: 100.00% | LR: 1.00e-03
Epoch   53/100 | CE: 0.027450 | Acc: 100.00% | LR: 1.00e-03
Epoch   54/100 | CE: 0.014194 | Acc: 100.00% | LR: 1.00e-03
Epoch   55/100 | CE: 0.025941 | Acc: 100.00% | LR: 1.00e-03
Epoch   56/100 | CE: 0.005286 | Acc: 100.00% | LR: 1.00e-03
Epoch   57/100 | CE: 0.011442 | Acc: 100.00% | LR: 1.00e-03
Epoch   58/100 | CE: 0.010677 | Acc: 100.00% | LR: 1.00e-03
Epoch   59/100 | CE: 0.019702 | Acc: 100.00% | LR: 1.00e-03
Epoch   60/100 | CE: 0.005470 | Acc: 100.00% | LR: 1.00e-03
Epoch   61/100 | CE: 0.015887 | Acc: 100.00% | LR: 1.00e-03
Epoch   62/100 | CE: 0.014257 | Acc: 100.00% | LR: 1.00e-03
Epoch   63/100 | CE: 0.020513 | Acc: 100.00% | LR: 1.00e-03
Epoch   64/100 | CE: 0.008663 | Acc: 100.00% | LR: 1.00e-03
Epoch   65/100 | CE: 0.032911 | Acc: 100.00% | LR: 1.00e-03
Epoch   66/100 | CE: 0.008230 | Acc: 100.00% | LR: 1.00e-03
Epoch   67/100 | CE: 0.013653 | Acc: 100.00% | LR: 1.00e-03
Epoch   68/100 | CE: 0.004198 | Acc: 100.00% | LR: 1.00e-03
Epoch   69/100 | CE: 0.005362 | Acc: 100.00% | LR: 1.00e-03
Epoch   70/100 | CE: 0.004669 | Acc: 100.00% | LR: 1.00e-03
Epoch   71/100 | CE: 0.005876 | Acc: 100.00% | LR: 1.00e-03
Epoch   72/100 | CE: 0.004176 | Acc: 100.00% | LR: 1.00e-03
Epoch   73/100 | CE: 0.005014 | Acc: 100.00% | LR: 1.00e-03
Epoch   74/100 | CE: 0.065881 | Acc: 100.00% | LR: 1.00e-03
Epoch   75/100 | CE: 0.012353 | Acc: 100.00% | LR: 1.00e-03
Epoch   76/100 | CE: 0.003237 | Acc: 100.00% | LR: 1.00e-03
Epoch   77/100 | CE: 0.008810 | Acc: 100.00% | LR: 1.00e-03
Epoch   78/100 | CE: 0.005756 | Acc: 100.00% | LR: 1.00e-03
Epoch   79/100 | CE: 0.007940 | Acc: 100.00% | LR: 1.00e-03
Epoch   80/100 | CE: 0.005938 | Acc: 100.00% | LR: 1.00e-03
Epoch   81/100 | CE: 0.006074 | Acc: 100.00% | LR: 1.00e-03
Epoch   82/100 | CE: 0.002482 | Acc: 100.00% | LR: 1.00e-03
Epoch   83/100 | CE: 0.004648 | Acc: 100.00% | LR: 1.00e-03
Epoch   84/100 | CE: 0.004098 | Acc: 100.00% | LR: 1.00e-03
Epoch   85/100 | CE: 0.003732 | Acc: 100.00% | LR: 1.00e-03
Epoch   86/100 | CE: 0.005906 | Acc: 100.00% | LR: 1.00e-03
Epoch   87/100 | CE: 0.004475 | Acc: 100.00% | LR: 1.00e-03
Epoch   88/100 | CE: 0.006450 | Acc: 100.00% | LR: 1.00e-03
Epoch   89/100 | CE: 0.010794 | Acc: 100.00% | LR: 1.00e-03
Epoch   90/100 | CE: 0.006368 | Acc: 100.00% | LR: 1.00e-03
Epoch   91/100 | CE: 0.003935 | Acc: 100.00% | LR: 1.00e-03
Epoch   92/100 | CE: 0.001924 | Acc: 100.00% | LR: 1.00e-03
Epoch   93/100 | CE: 0.002445 | Acc: 100.00% | LR: 1.00e-03
Epoch   94/100 | CE: 0.010896 | Acc: 100.00% | LR: 1.00e-03
Epoch   95/100 | CE: 0.014586 | Acc: 100.00% | LR: 1.00e-03
Epoch   96/100 | CE: 0.001135 | Acc: 100.00% | LR: 1.00e-03
Epoch   97/100 | CE: 0.001763 | Acc: 100.00% | LR: 1.00e-03
Epoch   98/100 | CE: 0.003394 | Acc: 100.00% | LR: 1.00e-03
Epoch   99/100 | CE: 0.004802 | Acc: 100.00% | LR: 1.00e-03
Epoch  100/100 | CE: 0.004059 | Acc: 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_stage2\checkpoint_epoch_100.pth
=== STAGE 2 SELESAI ===

model_stage2_classifier.pth disimpan
