
================================================================================
TCN TRAINING DATA REAL 100% - 2026-05-07 18:01:16
Total sample: 6 | Epoch: 100 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/100 | Loss: 5.471960 | MSE(Forecast): 0.7458219 | Acc(Class):  16.67% | LR: 1.00e-03
Epoch    2/100 | Loss: 3.537245 | MSE(Forecast): 0.5409577 | Acc(Class):  33.33% | LR: 1.00e-03
Epoch    3/100 | Loss: 1.985952 | MSE(Forecast): 0.4453484 | Acc(Class):  66.67% | LR: 1.00e-03
Epoch    4/100 | Loss: 2.569227 | MSE(Forecast): 0.4275185 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    5/100 | Loss: 1.288287 | MSE(Forecast): 0.4236400 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/100 | Loss: 1.635030 | MSE(Forecast): 0.4127562 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/100 | Loss: 1.200117 | MSE(Forecast): 0.3937458 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/100 | Loss: 2.443877 | MSE(Forecast): 0.4134383 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    9/100 | Loss: 4.484954 | MSE(Forecast): 0.3994715 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   10/100 | Loss: 1.433975 | MSE(Forecast): 0.3969082 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   11/100 | Loss: 1.327717 | MSE(Forecast): 0.4107061 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/100 | Loss: 1.202965 | MSE(Forecast): 0.3909104 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/100 | Loss: 0.599883 | MSE(Forecast): 0.4034453 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/100 | Loss: 0.570943 | MSE(Forecast): 0.4016656 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/100 | Loss: 2.756484 | MSE(Forecast): 0.3845040 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   16/100 | Loss: 2.312227 | MSE(Forecast): 0.3794008 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   17/100 | Loss: 1.230722 | MSE(Forecast): 0.3736240 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   18/100 | Loss: 0.387484 | MSE(Forecast): 0.3643194 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   19/100 | Loss: 1.420632 | MSE(Forecast): 0.3384638 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   20/100 | Loss: 2.590713 | MSE(Forecast): 0.3232147 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   21/100 | Loss: 3.693479 | MSE(Forecast): 0.3109227 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   22/100 | Loss: 1.135641 | MSE(Forecast): 0.3163375 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   23/100 | Loss: 0.373090 | MSE(Forecast): 0.2869382 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   24/100 | Loss: 0.647878 | MSE(Forecast): 0.2714698 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   25/100 | Loss: 0.283858 | MSE(Forecast): 0.2436609 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   26/100 | Loss: 0.817018 | MSE(Forecast): 0.2579947 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   27/100 | Loss: 0.253175 | MSE(Forecast): 0.2104752 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   28/100 | Loss: 0.231502 | MSE(Forecast): 0.2011150 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   29/100 | Loss: 0.174188 | MSE(Forecast): 0.1648157 | Acc(Class): 100.00% | LR: 1.00e-03
