
================================================================================
TCN TRAINING DATA REAL 100% - 2026-05-07 10:24:52
Total sample: 6 | Epoch: 250 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    2/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    3/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    4/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    5/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    6/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    7/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    8/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    9/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   10/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   11/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   12/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   13/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   14/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   15/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   16/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   17/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   18/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   19/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   20/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   21/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   22/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   23/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   24/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   25/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   26/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   27/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   28/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   29/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   30/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 1.00e-03
Epoch   31/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   32/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   33/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   34/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   35/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   36/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   37/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   38/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   39/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   40/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   41/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   42/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   43/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   44/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   45/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   46/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   47/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   48/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   49/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   50/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
   → Checkpoint: checkpoints_24param_TCN\checkpoint_epoch_50.pth
Epoch   51/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   52/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   53/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   54/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   55/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
Epoch   56/250 | Loss: nan | MSE(Forecast): nan | Acc(Class):  83.33% | LR: 5.00e-04
