
================================================================================
LSTM TRAINING DATA REAL 100% - 2026-04-15 20:10:35
Total sample: 6 | Epoch: 1000 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================

================================================================================
LSTM TRAINING DATA REAL 100% - 2026-04-16 17:23:20
Total sample: 6 | Epoch: 1000 | Batch: 2
COMPRESSION_FACTOR: 1× → 150000 pts/hari
cuDNN enabled: False
================================================================================
Epoch    1/1000 | Loss: 4.118463 | MSE(Forecast): 0.4206413 | Acc(Class):  66.67% | LR: 1.00e-03
Epoch    2/1000 | Loss: 3.769846 | MSE(Forecast): 0.4142745 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    3/1000 | Loss: 2.836367 | MSE(Forecast): 0.4002830 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    4/1000 | Loss: 1.223020 | MSE(Forecast): 0.3699501 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    5/1000 | Loss: 0.536966 | MSE(Forecast): 0.3290667 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/1000 | Loss: 0.281208 | MSE(Forecast): 0.2618025 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/1000 | Loss: 0.210157 | MSE(Forecast): 0.2025613 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/1000 | Loss: 0.151928 | MSE(Forecast): 0.1481096 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    9/1000 | Loss: 0.111659 | MSE(Forecast): 0.1111987 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   10/1000 | Loss: 0.081481 | MSE(Forecast): 0.0811727 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   11/1000 | Loss: 0.076267 | MSE(Forecast): 0.0762284 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/1000 | Loss: 0.067779 | MSE(Forecast): 0.0674723 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/1000 | Loss: 0.066908 | MSE(Forecast): 0.0668640 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/1000 | Loss: 0.054120 | MSE(Forecast): 0.0540905 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/1000 | Loss: 0.052246 | MSE(Forecast): 0.0522149 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   16/1000 | Loss: 0.049047 | MSE(Forecast): 0.0490247 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   17/1000 | Loss: 0.054903 | MSE(Forecast): 0.0548905 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   18/1000 | Loss: 0.045674 | MSE(Forecast): 0.0456635 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   19/1000 | Loss: 0.052359 | MSE(Forecast): 0.0523435 | Acc(Class): 100.00% | LR: 1.00e-03
