
================================================================================
TCN TRAINING DATA REAL 100% - 2025-12-17 18:52:01
Total sample: 6 | Epoch: 1000 | Batch: 4
COMPRESSION_FACTOR: 1× → 150000 pts/hari
================================================================================
Epoch    1/1000 | Loss: 5.306809 | MSE(Forecast): 1.1088356 | Acc(Class):  16.67% | LR: 1.00e-03
Epoch    2/1000 | Loss: 2.016788 | MSE(Forecast): 0.7493439 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    3/1000 | Loss: 0.803819 | MSE(Forecast): 0.6923679 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    4/1000 | Loss: 0.610731 | MSE(Forecast): 0.5604312 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    5/1000 | Loss: 0.531620 | MSE(Forecast): 0.5213000 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/1000 | Loss: 0.456858 | MSE(Forecast): 0.4543575 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/1000 | Loss: 0.390168 | MSE(Forecast): 0.3897976 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/1000 | Loss: 0.379243 | MSE(Forecast): 0.3783368 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    9/1000 | Loss: 0.346132 | MSE(Forecast): 0.3457593 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   10/1000 | Loss: 0.317265 | MSE(Forecast): 0.3171784 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   11/1000 | Loss: 0.287720 | MSE(Forecast): 0.2876629 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/1000 | Loss: 0.246973 | MSE(Forecast): 0.2469286 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/1000 | Loss: 0.204316 | MSE(Forecast): 0.2042676 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/1000 | Loss: 0.169500 | MSE(Forecast): 0.1694643 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/1000 | Loss: 0.182988 | MSE(Forecast): 0.1828945 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   16/1000 | Loss: 0.146418 | MSE(Forecast): 0.1463231 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   17/1000 | Loss: 0.124797 | MSE(Forecast): 0.1247562 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   18/1000 | Loss: 0.120212 | MSE(Forecast): 0.1201900 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   19/1000 | Loss: 0.123783 | MSE(Forecast): 0.1237577 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   20/1000 | Loss: 0.084945 | MSE(Forecast): 0.0847498 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   21/1000 | Loss: 0.108588 | MSE(Forecast): 0.1084481 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   22/1000 | Loss: 0.091043 | MSE(Forecast): 0.0909131 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   23/1000 | Loss: 0.086621 | MSE(Forecast): 0.0866055 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   24/1000 | Loss: 0.095151 | MSE(Forecast): 0.0951109 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   25/1000 | Loss: 0.075152 | MSE(Forecast): 0.0751334 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   26/1000 | Loss: 0.073576 | MSE(Forecast): 0.0734819 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   27/1000 | Loss: 0.065980 | MSE(Forecast): 0.0659119 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   28/1000 | Loss: 0.068768 | MSE(Forecast): 0.0686528 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   29/1000 | Loss: 0.085075 | MSE(Forecast): 0.0850435 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   30/1000 | Loss: 0.061555 | MSE(Forecast): 0.0615307 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   31/1000 | Loss: 0.063462 | MSE(Forecast): 0.0632678 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   32/1000 | Loss: 0.085450 | MSE(Forecast): 0.0851274 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   33/1000 | Loss: 0.073525 | MSE(Forecast): 0.0734710 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   34/1000 | Loss: 0.079438 | MSE(Forecast): 0.0794151 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   35/1000 | Loss: 0.068913 | MSE(Forecast): 0.0688834 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   36/1000 | Loss: 0.065011 | MSE(Forecast): 0.0649825 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   37/1000 | Loss: 0.058770 | MSE(Forecast): 0.0585031 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   38/1000 | Loss: 0.070352 | MSE(Forecast): 0.0701899 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   39/1000 | Loss: 0.063153 | MSE(Forecast): 0.0631290 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   40/1000 | Loss: 0.072789 | MSE(Forecast): 0.0727721 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   41/1000 | Loss: 0.068546 | MSE(Forecast): 0.0685422 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   42/1000 | Loss: 0.064819 | MSE(Forecast): 0.0646599 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   43/1000 | Loss: 0.067541 | MSE(Forecast): 0.0674914 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   44/1000 | Loss: 0.074234 | MSE(Forecast): 0.0741546 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   45/1000 | Loss: 0.075796 | MSE(Forecast): 0.0757699 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   46/1000 | Loss: 0.050495 | MSE(Forecast): 0.0504727 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   47/1000 | Loss: 0.061473 | MSE(Forecast): 0.0614481 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   48/1000 | Loss: 0.065745 | MSE(Forecast): 0.0657279 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   49/1000 | Loss: 0.059784 | MSE(Forecast): 0.0597610 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   50/1000 | Loss: 0.065894 | MSE(Forecast): 0.0658795 | Acc(Class): 100.00% | LR: 1.00e-03
   → Checkpoint: checkpoints_21param_TCN\checkpoint_epoch_50.pth
Epoch   51/1000 | Loss: 0.072768 | MSE(Forecast): 0.0727459 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   52/1000 | Loss: 0.044303 | MSE(Forecast): 0.0441224 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   53/1000 | Loss: 0.040211 | MSE(Forecast): 0.0401915 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   54/1000 | Loss: 0.069003 | MSE(Forecast): 0.0689871 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   55/1000 | Loss: 0.062489 | MSE(Forecast): 0.0624349 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   56/1000 | Loss: 0.042092 | MSE(Forecast): 0.0420681 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   57/1000 | Loss: 0.052505 | MSE(Forecast): 0.0524579 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   58/1000 | Loss: 0.057373 | MSE(Forecast): 0.0573533 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   59/1000 | Loss: 0.061600 | MSE(Forecast): 0.0592458 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   60/1000 | Loss: 0.044352 | MSE(Forecast): 0.0443440 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   61/1000 | Loss: 0.044100 | MSE(Forecast): 0.0440921 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   62/1000 | Loss: 0.053815 | MSE(Forecast): 0.0537836 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   63/1000 | Loss: 0.049877 | MSE(Forecast): 0.0498748 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   64/1000 | Loss: 0.054858 | MSE(Forecast): 0.0548295 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   65/1000 | Loss: 0.052424 | MSE(Forecast): 0.0524102 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   66/1000 | Loss: 0.039785 | MSE(Forecast): 0.0397460 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   67/1000 | Loss: 0.045002 | MSE(Forecast): 0.0449716 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   68/1000 | Loss: 0.043245 | MSE(Forecast): 0.0431167 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   69/1000 | Loss: 0.046381 | MSE(Forecast): 0.0462907 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   70/1000 | Loss: 0.063266 | MSE(Forecast): 0.0631270 | Acc(Class): 100.00% | LR: 1.00e-03
