
================================================================================
TCN TRAINING DATA REAL 100% - 2025-11-19 09:15:22
Total sample: 6 | Epoch: 1000 | Batch: 4
COMPRESSION_FACTOR: 10× → 15000 pts/hari
================================================================================
Epoch    1/1000 | Loss: 3.154361 | MSE(Forecast): 0.9124970 | Acc(Class):  83.33% | LR: 1.00e-03
Epoch    2/1000 | Loss: 1.207222 | MSE(Forecast): 0.6330135 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    3/1000 | Loss: 0.658125 | MSE(Forecast): 0.5373615 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    4/1000 | Loss: 0.508577 | MSE(Forecast): 0.4519781 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    5/1000 | Loss: 0.416051 | MSE(Forecast): 0.4077594 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    6/1000 | Loss: 0.353536 | MSE(Forecast): 0.3527436 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    7/1000 | Loss: 0.327517 | MSE(Forecast): 0.3265890 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    8/1000 | Loss: 0.301121 | MSE(Forecast): 0.3010775 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch    9/1000 | Loss: 0.265490 | MSE(Forecast): 0.2654757 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   10/1000 | Loss: 0.237417 | MSE(Forecast): 0.2374065 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   11/1000 | Loss: 0.185335 | MSE(Forecast): 0.1853282 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   12/1000 | Loss: 0.163915 | MSE(Forecast): 0.1639133 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   13/1000 | Loss: 0.145033 | MSE(Forecast): 0.1450191 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   14/1000 | Loss: 0.139775 | MSE(Forecast): 0.1397680 | Acc(Class): 100.00% | LR: 1.00e-03
Epoch   15/1000 | Loss: 0.139440 | MSE(Forecast): 0.1394369 | Acc(Class): 100.00% | LR: 1.00e-03
