ts_date,actual_SIV_T_HS_InConv_1,pred_SIV_T_HS_InConv_1,actual_SIV_T_HS_InConv_2,pred_SIV_T_HS_InConv_2,actual_SIV_T_HS_Inv_1,pred_SIV_T_HS_Inv_1,actual_SIV_T_HS_Inv_2,pred_SIV_T_HS_Inv_2,actual_SIV_T_Container,pred_SIV_T_Container,actual_SIV_I_L1,pred_SIV_I_L1,actual_SIV_I_L2,pred_SIV_I_L2,actual_SIV_I_L3,pred_SIV_I_L3,actual_SIV_I_Battery,pred_SIV_I_Battery,actual_SIV_I_DC_In,pred_SIV_I_DC_In,actual_SIV_U_Battery,pred_SIV_U_Battery,actual_SIV_U_DC_In,pred_SIV_U_DC_In,actual_SIV_U_DC_Out,pred_SIV_U_DC_Out,actual_SIV_U_L1,pred_SIV_U_L1,actual_SIV_U_L2,pred_SIV_U_L2,actual_SIV_U_L3,pred_SIV_U_L3,actual_SIV_InConv_InEnergy,pred_SIV_InConv_InEnergy,actual_SIV_Output_Energy,pred_SIV_Output_Energy,actual_PLC_OpenACOutputCont,pred_PLC_OpenACOutputCont,actual_PLC_OpenInputCont,pred_PLC_OpenInputCont,actual_SIV_DevIsAlive,pred_SIV_DevIsAlive,health_status_pred,confidence_%
2024-08-06 06:15:33.751,36.0,37.094173,36.0,36.49534,38.0,40.550213,37.0,36.81315,50.0,51.094273,21.36,31.23449,20.03,34.085693,20.93,30.545193,0.0,-0.27310926,20.22,31.439526,113.0,113.01816,822.18,812.4302,126.0,125.99247,220.0,219.99445,220.0,219.65451,220.87,220.2947,70.6,123.289314,58.38,88.01203,0.0,0.052708287,0.0,0.115084015,34366.5,25847.82,0,591.2691
2024-08-06 06:15:59.351,36.0,37.23305,36.0,36.34943,38.0,40.691334,37.0,36.8457,50.0,50.805893,16.3,36.281155,16.0,36.90279,16.29,34.783493,0.0,-0.16866663,17.61,33.514404,113.0,113.01622,807.67,817.44635,126.0,125.995735,220.0,219.99628,220.0,219.8092,221.0,220.29117,71.0,106.05502,59.0,78.593216,0.0,0.012194758,0.0,0.08218633,34466.5,31973.605,0,591.2691
2024-08-06 06:16:24.951,36.0,37.345867,36.0,36.47246,38.0,40.72291,37.0,36.88619,50.0,50.613136,24.9,38.947685,24.19,39.23672,24.87,37.969513,0.0,-0.13825892,21.38,35.423355,113.0,113.010765,861.63,819.3164,126.0,125.9971,220.0,219.99683,219.98,219.86327,220.83,220.27489,71.0,92.67401,59.0,70.91995,0.0,0.0045150407,0.0,0.059905324,34566.5,33758.613,0,591.2691
2024-08-06 06:16:50.551,36.0,37.398903,36.0,36.55585,38.0,40.67962,36.3,36.86691,50.0,50.473328,42.35,40.411285,40.5,40.890537,41.62,40.013676,0.0,-0.12581895,33.51,36.709938,113.0,113.005936,835.34,820.43774,126.0,125.99781,220.0,219.99716,219.9,219.88744,220.0,220.26222,71.0,85.83657,59.0,66.559456,0.0,0.0020268238,0.0,0.0434413,34666.5,34661.95,0,591.2691
2024-08-06 06:17:16.151,36.0,37.421665,36.0,36.59893,38.25,40.61949,36.0,36.83049,50.0,50.366478,51.95,41.337013,49.57,42.091778,50.6,41.42184,0.0,-0.1193958,40.66,37.57599,113.0,113.00242,813.62,821.1486,126.0,125.99823,220.0,219.99742,220.0,219.90048,220.0,220.25328,71.0,82.735855,59.0,64.463646,0.0,0.0006434002,0.0,0.031048376,34766.5,35338.51,0,591.2691
2024-08-06 06:17:41.751,36.0,37.43428,36.0,36.62385,39.0,40.570576,36.0,36.79946,50.0,50.28448,52.16,42.014874,49.83,43.013973,51.12,42.47736,0.0,-0.115595706,41.2,38.18142,113.0,112.99994,807.81,821.62744,126.0,125.99851,220.0,219.99762,220.0,219.90833,220.0,220.24667,71.0,81.41792,59.0,63.554657,0.0,-0.00025995073,0.0,0.021676239,34866.5,35911.883,0,591.2691
2024-08-06 06:18:07.351,36.0,37.445236,36.0,36.64327,39.0,40.539955,36.0,36.781628,50.0,50.221584,50.77,42.575356,48.53,43.75606,49.73,43.322124,0.0,-0.11312561,39.38,38.62536,113.0,112.998215,832.27,821.9687,126.0,125.99872,220.0,219.99779,220.0,219.9134,220.0,220.24149,71.79,80.926056,59.0,63.23999,0.0,-0.0008319211,0.0,0.014569833,34966.5,36407.113,0,591.2691
2024-08-06 06:18:32.951,36.0,37.45713,36.0,36.6627,39.0,40.52676,36.0,36.777775,50.0,50.17326,41.45,43.07821,39.85,44.37507,41.04,44.031017,0.0,-0.11141146,34.48,38.967644,113.0,112.99704,808.62,822.22186,126.0,125.998886,220.0,219.99792,219.68,219.91682,220.0,220.23717,72.0,80.817245,59.93,63.231052,0.0,-0.0011647067,0.0,0.009155794,35066.5,36832.117,0,591.2691
2024-08-06 06:18:58.551,36.0,37.47029,36.0,36.684105,39.0,40.527958,36.0,36.786076,50.0,50.13602,23.53,43.5506,22.59,44.905495,23.33,44.64609,0.0,-0.110166214,21.58,39.244392,113.0,112.99628,849.43,822.4149,126.0,125.99901,220.0,219.99805,219.97,219.9192,220.5,220.23343,72.0,80.88572,60.0,63.38525,0.0,-0.0013304927,0.0,0.00500812,35166.5,37194.32,0,591.2691
2024-08-06 06:19:24.151,36.0,37.484364,36.0,36.707893,39.0,40.54038,36.0,36.804085,50.0,50.10722,14.71,44.004726,14.04,45.36955,14.04,45.192543,0.0,-0.10923187,15.41,39.477806,113.0,112.99583,840.24,822.5646,126.0,125.99911,220.0,219.99815,220.0,219.92085,220.67,220.23004,72.0,81.03477,60.0,63.628025,0.0,-0.0013816888,0.0,0.0018150784,35266.11,37502.34,0,591.2691
2024-08-06 06:19:49.495,36.0,37.498894,36.0,36.733875,38.86,40.56131,36.0,36.829525,50.0,50.084873,6.0,44.445847,6.0,45.78227,6.0,45.68644,0.0,-0.10851284,9.65,39.681873,113.0,112.9956,839.78,822.68195,126.0,125.99921,220.0,219.99826,220.0,219.92203,220.0,220.22697,72.0,81.2186,60.0,63.917866,0.0,-0.0013542919,0.0,-0.00065068045,35365.5,37764.996,0,591.2691
2024-08-06 06:20:15.095,35.43,37.513496,35.43,36.761654,38.0,40.588577,36.0,36.860474,50.0,50.067486,6.0,44.87595,6.0,46.15429,6.0,46.1386,0.0,-0.10794757,10.0,39.865597,113.0,112.99555,808.61,822.7748,126.0,125.999275,220.0,219.99835,220.0,219.92284,220.0,220.22409,72.0,81.415825,60.0,64.23047,0.0,-0.0012721652,0.0,-0.0025562195,35465.5,37990.406,0,591.2691
